iter	Logloss
0	0.6664680481
1	0.6469517517
2	0.627231369
3	0.6096800995
4	0.5923864746
5	0.5764929199
6	0.5617935181
7	0.5502490234
8	0.5380976868
9	0.5278536606
10	0.5183239746
11	0.5093347168
12	0.5003206635
13	0.4917955017
14	0.4854228973
15	0.479421463
16	0.4733730698
17	0.4670907593
18	0.4611972809
19	0.4565198517
20	0.4511587906
21	0.4456811905
22	0.4411727905
23	0.437265892
24	0.4334843445
25	0.4295783615
26	0.426203804
27	0.423590889
28	0.4201077652
29	0.416734314
30	0.4138962555
31	0.4107684708
32	0.4064825439
33	0.4032301331
34	0.4004430008
35	0.3979948807
36	0.3960164642
37	0.3927542877
38	0.3906329727
39	0.3891807556
40	0.3869968796
41	0.3858247375
42	0.3832316589
43	0.3815982056
44	0.3792644501
45	0.3778409195
46	0.3760824585
47	0.3739025116
48	0.3723682404
49	0.3708823395
50	0.3683127975
51	0.3673075485
52	0.3657426453
53	0.3633919525
54	0.3610700226
55	0.35954216
56	0.3577716446
57	0.3568598175
58	0.3558024216
59	0.3547210693
60	0.3520591736
61	0.3504117584
62	0.3491062164
63	0.347130661
64	0.3445162201
65	0.3426184845
66	0.3410028839
67	0.3386838531
68	0.3373181152
69	0.3348797226
70	0.3337995911
71	0.3327502441
72	0.3310526276
73	0.3300174713
74	0.3284680557
75	0.3272618484
76	0.3251529694
77	0.3239111328
78	0.3228172302
79	0.3216519165
80	0.3207913208
81	0.3195099258
82	0.3177222061
83	0.3166899872
84	0.3153292847
85	0.3130481339
86	0.3113206482
87	0.3099346161
88	0.308152504
89	0.3068290901
90	0.305383606
91	0.3037774467
92	0.3022481155
93	0.3001474571
94	0.2981193542
95	0.297048893
96	0.2961283493
97	0.2946526718
98	0.2926865005
99	0.291164093
