iter	Passed	Remaining
0	152	15115
1	157	7731
2	160	5190
3	162	3908
4	165	3148
5	168	2634
6	170	2264
7	172	1985
8	174	1768
9	177	1598
10	181	1470
11	184	1352
12	186	1249
13	188	1159
14	191	1083
15	193	1015
16	198	967
17	201	915
18	203	868
19	206	824
20	208	784
21	212	751
22	214	718
23	216	686
24	219	657
25	221	630
26	223	604
27	228	587
28	231	565
29	233	543
30	235	523
31	237	505
32	239	486
33	243	472
34	245	455
35	247	440
36	249	424
37	251	410
38	253	396
39	256	384
40	258	372
41	260	360
42	262	348
43	264	337
44	266	326
45	268	315
46	272	307
47	275	297
48	277	288
49	279	279
50	281	270
51	283	261
52	285	253
53	288	245
54	290	237
55	292	229
56	294	222
57	296	214
58	298	207
59	300	200
60	303	193
61	305	187
62	307	180
63	310	174
64	319	172
65	323	166
66	327	161
67	334	157
68	337	151
69	339	145
70	342	139
71	344	133
72	348	128
73	351	123
74	353	117
75	355	112
76	357	106
77	360	101
78	363	96
79	366	91
80	368	86
81	370	81
82	372	76
83	375	71
84	379	66
85	381	62
86	384	57
87	387	52
88	390	48
89	394	43
90	397	39
91	400	34
92	402	30
93	405	25
94	408	21
95	411	17
96	413	12
97	416	8
98	418	4
99	421	0
